time,right_j0,right_j1,right_j2,right_j3,right_j4,right_j5,right_j6,right_gripper
0.000000000000,-0.001685546875,-0.870235351562,0.001486328125,2.093040039063,-0.000670898438,0.002318359375,0.000977539062,0.040207560420
0.010177321190,-0.001653708455,-0.870226371549,0.001450684972,2.092962530133,-0.000672296541,0.002151183941,0.001082770971,0.040207560420
0.020354642381,-0.001592528523,-0.870208510880,0.001379106442,2.092805759580,-0.000674054251,0.001821089944,0.001286317108,0.040207560420
0.030531963571,-0.001504362342,-0.870181851766,0.001271205842,2.092567982937,-0.000675138983,0.001332345229,0.001581235338,0.040207560420
0.040709284762,-0.001391356018,-0.870146437888,0.001126522435,2.092247635863,-0.000674518867,0.000689219588,0.001960669759,0.040207560420
0.050886605952,-0.001255377651,-0.870102253078,0.000944545110,2.091843517550,-0.000671162066,-0.000104026584,0.002417974656,0.040207560420
0.061063927143,-0.001097956942,-0.870049203560,0.000724736270,2.091354962470,-0.000664044037,-0.001043154483,0.002946838224,0.040207560420
0.071241248333,-0.000920243872,-0.869987107518,0.000466552905,2.090781975776,-0.000652166519,-0.002123958573,0.003541392031,0.040207560420
0.081418569524,-0.000722995875,-0.869915695329,0.000169462573,2.090125311224,-0.000634591720,-0.003342276755,0.004196294878,0.040207560420
0.091595890714,-0.000506599758,-0.869834622645,-0.000167046761,2.089386478404,-0.000610494113,-0.004693998726,0.004906784734,0.040207560420
0.101773211904,-0.000271129992,-0.869743496811,-0.000543462817,2.088567676408,-0.000579230358,-0.006175072732,0.005668698299,0.040207560420
0.111950533095,-0.000016439642,-0.869641915163,-0.000960249867,2.087671661754,-0.000540425286,-0.007781511169,0.006478462908,0.040207560420
0.122127854285,0.000257724878,-0.869529511835,-0.001417852735,2.086701567429,-0.000494068979,-0.009509395406,0.007333069073,0.040207560420
0.132305175476,0.000551597944,-0.869406008172,-0.001916702226,2.085660696008,-0.000440617238,-0.011354879894,0.008230033589,0.040207560420
0.142482496666,0.000865272364,-0.869271261056,-0.002457220321,2.084552311942,-0.000381085806,-0.013314195404,0.009167363081,0.040207560420
